Name,Observed Wavelength of H-alpha,Apparent Mag,RA J2000.0,Dec J2000.0
NGC4791,6572.04247783248,14.336761493813945,12 54 43.9,+08 03 11
UGC08032,6590.485437768387,13.750805760773723,12 54 44.2,+13 14 14
PGC214037,6592.3664154128455,11.199890629346257,12 54 45.3,+28 55 30
EVCC1234,6582.023774967558,14.091891034043297,12 54 45.4,+18 08 05
PGC3090638,6594.027477596968,14.158645457668197,12 54 46.3,+15 35 30
IC3881,6607.998868444559,12.610563615325468,12 54 48.6,+19 10 38
NGC4809,6561.1132805194375,11.667961136796603,12 54 51.1,+02 39 14
PGC1120414,6582.062460747522,14.721988332464662,12 54 51.1,-01 21 51
NGC4810,6576.012040041358,15.163930589496644,12 54 51.2,+02 38 26
[SDV2005]230,6582.527641191404,14.723131245593581,12 54 52.4,+10 57 43
PGC043987,6595.238991725012,11.90772310407073,12 54 57.6,+01 58 42
SDSSJ125504.03+074316.9,6582.606833671226,14.507534582443178,12 55 04.0,+07 43 17
AGC227927,6574.685833913152,14.2759146123093,12 55 04.3,+08 06 13
PGC093119,6574.317955666086,11.41888283505019,12 55 04.7,+08 03 59
UGC08042,6567.324117051601,12.558698950373184,12 55 10.3,+07 55 05
UGC08041,6558.114611360091,11.97758521272388,12 55 12.6,+00 07 00
AGC225849,6586.870051275568,14.069557296085513,12 55 35.1,+10 44 18
PGC158230,6561.659980307272,12.30128359847836,12 55 37.3,-01 19 48
UGC08048,6543.207379073101,14.273539097353073,12 55 39.1,-00 15 52
KDG215,6592.929679774492,13.181861587444736,12 55 40.5,+19 12 33
NGC4808,6570.74008673769,13.872868592702591,12 55 49.0,+04 18 15
UGC08053,6580.893480567743,14.507077181781462,12 55 49.2,+04 00 48
AGC227974,6578.241239833612,12.98534491606425,12 56 03.5,+04 52 01
UGC08055,6577.881860201955,14.28463600773189,12 56 04.5,+03 48 46
UGC08056,6586.939065893768,14.297874571380337,12 56 19.8,+10 11 20
NGC4826,6591.811503582866,13.817104573142132,12 56 43.7,+21 40 55
UGC08061,6586.230305206563,11.512279002724263,12 56 43.8,+11 55 54
SDSSJ125651.47+163024.2,6586.978066659615,11.980204021393789,12 56 51.5,+16 30 24
PGC044211,6586.815295484716,14.17727438621321,12 56 53.4,+08 09 41
PGC044215,6559.025721295979,11.912752859177779,12 56 57.1,+04 03 53
SDSSJ125703.47+092258.9,6597.469377926224,15.121787285948322,12 57 03.5,+09 22 59
AGC227975,6590.352044718849,13.256847396856898,12 57 18.1,+04 59 29
SDSSJ125736.51+091846.1,6582.6343402561415,10.297974545121985,12 57 36.5,+09 18 46
DDO156,6584.594393209821,12.01076116900692,12 57 44.6,+02 41 31
NGC4845,6545.740885320393,11.380874264790492,12 58 01.2,+01 34 33
DDO157,6580.057575195108,12.2343472201154,12 58 09.0,+14 51 32
UGC08085,6600.346261371345,14.384860373084638,12 58 17.3,+14 33 25
PGC1427916,6584.018259202587,11.349449364148157,12 58 20.2,+13 18 48
KK173,6609.09497686095,13.506600518529254,12 58 36.0,+17 48 47
GR8,6580.54096343347,15.153645084260475,12 58 40.2,+14 13 03
PGC044517,6581.58011481031,14.310406754051641,12 58 52.8,+13 09 09
PGC1423207,6600.06718556722,13.596827812177697,12 58 53.4,+13 06 47
NGC4866,6575.875224816865,14.832831188895135,12 59 27.1,+14 10 16
PGC1383640,6584.705407074855,11.085762923091536,12 59 42.0,+10 43 38
PGC1132599,6577.342982012675,12.870593867610715,12 59 45.1,-00 52 16
SDSSJ125952.41+033758.5,6549.7913038896795,11.156282780101446,12 59 52.4,+03 37 59
PGC044685,6557.016626183906,13.095443069341552,12 59 58.1,+02 02 58
NGC4880,6599.875669343766,13.314358172773709,13 00 10.5,+12 29 01
AGC233574,6576.998957083075,14.060905926509612,13 00 22.1,+12 55 25
UGC08114,6584.011059548801,14.718601036613059,13 00 25.0,+13 40 13
NGC4900,6588.559279294035,12.045630890968518,13 00 39.2,+02 30 04
NGC4904,6566.157975887861,15.144196422608296,13 00 58.6,-00 01 39
AGC232135,6561.512660499607,12.12191197595159,13 01 53.3,+02 27 38
PGC045019,6555.539541140402,10.200209399737055,13 02 40.8,+01 04 27
KK177,6585.699915289333,11.53857657238817,13 02 41.8,+21 59 52
SDSSJ130320.36+175909.7,6590.2792878826795,10.89887176693684,13 03 20.4,+17 59 10
AGC232137,6578.185077622389,14.799016951606717,13 03 44.2,+02 02 24
KK180,6604.824454704747,12.125895187178525,13 04 30.2,+17 45 34
SDSSJ130440.05+184438.7,6578.414517531722,13.874972909829516,13 04 40.1,+18 44 39
AGC230077,6579.67095924681,14.832081006777372,13 06 23.2,+10 26 02
KK183,6569.642017627632,14.148651547787164,13 06 42.5,+18 00 08
AGC230084,6604.018562129416,11.53179805512513,13 06 56.0,+14 48 27
UGC08276,6557.1886718738915,13.25133555062925,13 12 06.6,+05 28 33
UGC08285,6570.434471686748,14.42834968227988,13 12 33.3,+07 11 03
UGC08298,6587.586814166231,14.5885272190731,13 13 19.7,+10 11 39
SDSSJ131347.30+100311.1,6571.536696876264,14.910543883994485,13 13 47.3,+10 03 11
UGC08382,6586.0555786776295,14.282166295843378,13 20 32.1,+05 24 29
